Feature	 Category 	 Polarity 
lovely picnic basket	meal	good
good food	food	good
scrumptious lobster soup	dish	neutral
tender-pandan custard	dish	neutral
knowledgeable staff chef	staff	good
not_want sushi	dish	neutral
not_basically dish	dish	neutral
well meal	meal	good
recommend breakfast anyone	meal	good
quite bratty point	dish	neutral
not_final price	cost	neutral
Also meal	meal	neutral
prefer meal	meal	good
not_good dish gravy	dish	bad
not_delicious service	service	bad
good meal birthday	meal	good
music menu	menu	neutral
anonymous meat curry	dish	neutral
menu watermelon	menu	neutral
also curry	dish	neutral
well worth price	cost	good
adorable food	food	good
fairly early dinner	meal	good
three-course tasting menu	menu	neutral
salad rice	dish	neutral
duck meat	food	neutral
not_magical show food	food	bad
reasonable food	food	good
chili-blackberry soda whole	dish	neutral
really special restaurant	dish	neutral
outstanding meal	meal	good
start meal	meal	neutral
pizzazz wasnt	dish	neutral
friendly staff	staff	good
salad bread	dish	neutral
cheese plate port	food	neutral
quick snack anyone	meal	neutral
first bite AMAZING	meal	neutral
small menu	menu	neutral
lucky meal	meal	good
wide choice food	food	neutral
not_flavorful seafood chef	food	neutral
steak cheese	meal	neutral
final sushi/maki plate	dish	neutral
first dish	dish	neutral
fresh produce	food	good
fish everrrr	food	neutral
fast food	food	good
not_perfectly steak lobster	meal	bad
great meal haha	meal	good
good service	service	good
unique fish dish	dish	neutral
overall meal	meal	neutral
also chocolate	food	neutral
tasty specially	dish	neutral
casual menu	menu	neutral
especially hard teaser	meal	bad
dish sort wizardry	dish	neutral
happen food	food	neutral
not_range food	food	neutral
possible serving food	food	neutral
optimal meal	meal	good
amicable menu	menu	good
hot cheese	food	good
not_bad service	service	good
rich food	food	good
not_say food	food	neutral
Finished food	food	neutral
exceptional service	service	good
sushi roll	dish	neutral
not_n't bad service	service	good
chocolate tart	food	neutral
bite-sized bread	meal	neutral
Indian food say	food	neutral
expensive meal trip	meal	bad
small sashimi plate	dish	neutral
Mid-priced dining earn	cost	neutral
authentic soup tasty	dish	good
great food amazing	food	good
not_next day meal	meal	neutral
not_dish bc 'm	dish	neutral
side butternut	food	neutral
hot melting cheese	food	good
truly exquisite meal	meal	good
special dinner	meal	neutral
delicious meal	meal	good
solid meal price	meal	good
mid-priced dining table	cost	neutral
dish wine sooo	dish	neutral
convenient importantly- food	food	good
sticky coconut rice	food	bad
steak mushroom steak	meal	neutral
great point sweet	dish	good
delicious meat	food	good
avoid disappointment	dish	bad
excuisitely delicious food	food	good
expensive dinner	meal	bad
exceptional food good	food	good
not_great dish	dish	bad
high-end service	service	neutral
delightful lunch salmon	meal	good
menu well	menu	good
not_breast dessert chocolate	food	neutral
attractive staff	staff	good
delicious relaxing meal	meal	good
delicious start meal	meal	good
instead essential element	meal	neutral
Asian food	food	neutral
top head dinner	meal	good
ridiculously delicious service	service	neutral
stylish spot service	service	good
not_special anything food	dish	neutral
attentive service	service	good
affordable sushi sushi	dish	good
full turnover	dish	neutral
chocolate lollipop	food	neutral
great turnover	dish	good
plenty menu	menu	neutral
sunny afternoon brunch	meal	neutral
typical syrup butter	food	neutral
memorable meal eaten	meal	good
bread service	service	neutral
not_delicious staff	staff	bad
flavorful dish	dish	neutral
not_back brunch	meal	neutral
fish taco lobster	dish	neutral
many-layered chocolate hazelnut	food	neutral
Next DimSum dish	dish	neutral
wonderful family dinner	meal	good
dish touch fusion	dish	neutral
picnic enjoy	meal	good
nicely pungent cheese	food	good
not_Indian food	food	neutral
cheese gravy	food	neutral
well cheese	food	good
dish guineafowl dish	dish	neutral
buttery lobster	food	neutral
special appetizer sashimi	dish	neutral
not_generally decent food	food	bad
not_breakfast smallish lunch	meal	good
lot menu	menu	neutral
good point trip	dish	good
not_even special	dish	neutral
hot food cold	food	neutral
make payment	cost	neutral
overly oily meat	food	neutral
also great brunch	meal	good
fish drew	food	neutral
dish dish	dish	neutral
really special	dish	neutral
fish cucumber salad	dish	neutral
generic salad	dish	neutral
5/5Good food good	food	good
sweet yogurt	food	good
not_Asian food	food	neutral
picnic right time	meal	good
wonderful food day	food	good
cheese side	food	neutral
crumbly buttery goodness	food	good
white chocolate basil	food	neutral
brunch much	meal	neutral
'd expect steak	meal	neutral
able get lunch	meal	neutral
different menus husband	menu	neutral
hard teaser	meal	bad
cheese obligatory	food	neutral
not_traditional sushi menu	dish	neutral
nice snack menu	meal	good
never unique fish	food	neutral
never happen food	food	neutral
not_absolutely perfectly steak	meal	bad
not_small loaf brioche	food	neutral
not_goat cheese think	food	neutral
special sea bass	dish	neutral
good cheap food	food	neutral
memorable dish	dish	good
fantastic piece cake	dish	good
main dish	dish	neutral
apple butter	food	neutral
current menu	menu	neutral
extremely reasonable price	cost	good
tone meal	meal	neutral
Overall disappointing experience	dish	bad
knowledgeable service	service	good
exquisite meal	meal	good
not_picnic basket option	meal	neutral
main meal	meal	neutral
thin fish/ person	food	neutral
chatty meal	meal	neutral
not_grab lunch	meal	neutral
not_sashimi right	dish	bad
great service	service	good
not_much pie dish	dish	neutral
3-course meal	meal	neutral
really great point	dish	good
atmosphere great staff	staff	good
special gravy sauce	dish	neutral
not_wrong food good	food	neutral
great lunch	meal	good
not_remarkable food warm	food	bad
price-tag bit fast	cost	good
courteous service	service	good
indulgent food	food	good
not_never bread pudding	dish	neutral
raw salmon salad	dish	neutral
lunch rush college	meal	neutral
point food	dish	neutral
not_cheese n't	food	neutral
high end foodie	food	neutral
far delicious brunch	meal	good
thin hashbrown	dish	neutral
smile great service	service	good
assure food	food	good
'cheese cigar	food	neutral
crappy service	service	bad
delicious addition meal	meal	good
bad ending meal	meal	bad
affordable price	cost	good
typical ham cheese	food	neutral
whole service	service	neutral
eventful meal	meal	good
special scallop amuse	dish	good
back tear	meal	neutral
reasonable price smaller	cost	good
not_aspect meal presentation	meal	neutral
not_caesar salad foam	dish	neutral
fantastic food good	food	good
excellent side salad	dish	good
crust flaky buttery	food	bad
white fish	food	neutral
really good service	service	good
not_regular menu	menu	neutral
Overall satisfactory lunch	meal	good
not_menu never	menu	neutral
instead raw	meal	neutral
mean breakfast sandwich	meal	neutral
high price point	dish	neutral
not_end meal	meal	neutral
reasonable price	cost	good
last supper	meal	neutral
not_big price	cost	neutral
not_gravy cheese	food	neutral
chocolate pot	food	neutral
special effect	dish	neutral
especially 'll sticking	dish	neutral
great homemade meal	meal	good
wonderful staff	staff	good
not_good excellent food	food	bad
cheese crispy	food	neutral
particular cheese	food	neutral
cheese kimbap	food	neutral
substantial tasting menu	menu	neutral
small tasting menu	menu	neutral
hear food	food	neutral
not_public foodgasm	food	neutral
big sushi fan	dish	neutral
delicious food make	food	good
interim food	food	neutral
separate menu	menu	neutral
perhaps memorable meal	meal	good
really pricey brunch	meal	bad
helpful service desk	service	good
whimsical mediocre food	food	bad
roll sushi	dish	neutral
favorite dish	dish	good
not_second time disappoint	dish	good
not_big brunch	meal	neutral
steady stream eat-in	meal	good
special occasion	dish	neutral
early dinner	meal	neutral
standard chocolate ganache	food	neutral
beautiful service	service	good
not_big taste food	food	neutral
not_good sushi something	dish	bad
special note	dish	neutral
high-priced dining linen	cost	bad
not_specific dish gimmick	dish	good
cheese dinner	meal	neutral
special evening	dish	neutral
dish super juicy	dish	good
late bite	meal	neutral
know service	service	neutral
especially memorable	dish	good
meat-ed point trip	dish	neutral
different tasting menus	menu	neutral
fantastic brunch	meal	good
great meal	meal	good
not_last supper	meal	neutral
Overall meal	meal	neutral
not_good comfort food	food	bad
special restaurant	dish	neutral
Even 3-course meal	meal	neutral
go meal	meal	neutral
breakfast try	meal	neutral
hard cheese mild	food	bad
memorable food experience	food	good
Indian dinner home	meal	neutral
mumble name dish	dish	neutral
cheese weird	food	bad
small restaurant food	food	neutral
special day veal	dish	neutral
reasonable amount food	food	good
lovely Japanese food	food	good
pricey well	cost	neutral
bad food	food	bad
not_vegetable recall point	dish	neutral
really rich dish	dish	good
not_main dish	dish	neutral
especially thin	dish	neutral
great price	cost	good
solid meal	meal	good
luxurious experience service	service	good
special flavor	dish	neutral
professional service	service	neutral
helpful service tip	service	good
top food top	food	good
fantastic food	food	good
dish tangy	dish	neutral
mac-n-cheese -because	food	neutral
full tasting menu	menu	neutral
special NYE tasting	dish	neutral
first meal	meal	neutral
not_-style salad	dish	neutral
not_bad price	cost	good
somewhat cryptic menu	menu	neutral
steak also	meal	neutral
luckly lunch rush	meal	neutral
nice especially	dish	good
good food cheap	food	neutral
popular menu	menu	good
picnic basket	meal	neutral
table service	service	neutral
first bite	meal	neutral
specially salad	dish	neutral
sat dinner	meal	neutral
dish filling	dish	neutral
short menu	menu	neutral
not_good tasty menu	menu	bad
not_special chicken	dish	neutral
absolutely good food	food	good
not_good dinner	meal	bad
back affordable sushi	dish	good
opentable menu	menu	neutral
not_enough breakfast smallish	meal	neutral
Delicious chocolate croissant	food	neutral
creative menu	menu	good
not_French food	food	neutral
not_enjoy meal	meal	bad
re-invent menu	menu	neutral
different staff	staff	neutral
clean food	food	good
nice meal beginning	meal	good
goat cheese	food	neutral
atmosphere excellent service	service	good
unconventional sushi stop	dish	neutral
not_really good dish	dish	bad
worth price tag	cost	good
Grenoble/Warm goat cheese	food	neutral
not_over-priced tourist trap	cost	good
pricey brunch	meal	bad
French bistro food	food	neutral
foodie honeymoon	food	neutral
cozy comfy food	food	good
especially naan shahi	dish	neutral
wonderful price tag	cost	good
quite nice meal	meal	good
beautiful hazelnut chocolate	food	good
couscous kibbeh	dish	neutral
horse meat	food	neutral
incredibly helpful staff	staff	good
first cheese salty	food	neutral
extensive tasting menu	menu	neutral
wise foodie	food	good
special occasion indulge	dish	bad
overall meal service	meal	neutral
pasta much	dish	neutral
breakfast standpoint	meal	neutral
first lunch	meal	neutral
repeatedly great turnover	dish	good
knowledgable wait staff	staff	neutral
first put menu	menu	neutral
picnic basket take	meal	neutral
periodically re-invent menu	menu	neutral
excellent service excellent	service	good
especially cheek	dish	neutral
Japanese food	food	neutral
great food	food	good
famous seafood pancake	dish	good
Also fish taco	dish	neutral
important amazing food	food	good
quick lunch	meal	neutral
couscous salad	dish	neutral
not_restaurant price	cost	neutral
good price	cost	good
special poutine	dish	neutral
not_ever usual food	food	neutral
highlight meal	meal	neutral
pungent cheese	food	neutral
average steak	meal	neutral
korean food	food	neutral
back breakfast try	meal	neutral
not_curry came fron	dish	neutral
minimal service	service	neutral
over-priced meal	meal	bad
little pricey	cost	bad
not_perfect meal	meal	bad
rich dish	dish	good
huge breakfast person	meal	neutral
delicious food awesome	food	good
single dish	dish	neutral
great brunch	meal	good
dish piglet risotto	dish	neutral
beautiful yoghurt praline	food	good
obviously mac-n-cheese-	food	neutral
still delicious service	service	good
great price student	cost	good
good meal	meal	good
cool price	cost	good
delicious service	service	good
good dish	dish	good
expensive price pay	cost	bad
fresh food	food	good
Ex-Chef tell cost	cost	neutral
yummy cheese	food	neutral
delicious buttery	food	good
dish year	dish	neutral
great service staff	staff	good
pretty meat-ed point	dish	good
rich hearty meal	meal	good
Otherwise unconventional sushi	dish	neutral
next point	dish	neutral
particular food	food	neutral
really recommend breakfast	meal	good
tasty service	service	neutral
big mess	meal	bad
meal awesome	meal	good
know bad food	food	bad
meal look	meal	neutral
full service breakdown	service	bad
asian food place	food	neutral
not_'ll try spoil	dish	good
buttery goodness great	food	good
pricey definitely	cost	bad
Indian food stay	food	neutral
not_wonderful meal	meal	bad
come dinner	meal	neutral
french onion soup	dish	neutral
picky meat	food	bad
fresh quality fish	food	good
many staff	staff	neutral
forgettable meal	meal	neutral
beautiful sushi platter	dish	good
delicious brunch	meal	good
special cobia	dish	neutral
not_special 'm	dish	neutral
table turnover rate	dish	neutral
marry amazing food	food	good
picky sushi	dish	bad
overall food experience	food	neutral
romantic dinner group	meal	good
large butter chicken	food	neutral
dish plate	dish	neutral
breast dessert chocolate	food	neutral
not_strong point	dish	bad
special night	dish	neutral
extra charge	cost	neutral
special app day	dish	neutral
good food drink	food	good
even famous seafood	food	good
good take food	food	good
truly lucky meal	meal	good
want good food	food	good
Attentive service	service	neutral
full drink food	food	neutral
great staff	staff	good
favourite dish night	dish	neutral
Truly outstanding meal	meal	good
cheese lobster	food	neutral
dakbal dish	dish	neutral
see staff	staff	neutral
cheese thing	food	neutral
heavy dish great	dish	good
really good meal	meal	good
9-course tasting menu	menu	neutral
not_delicious food	food	bad
salmon sashimi	dish	neutral
third meal	meal	neutral
Delicious food	food	neutral
not_think soup	dish	neutral
meal true disappointment	meal	bad
side/beverage/dessert menus	menu	neutral
cheese right size	food	good
dish crying acidity	dish	neutral
delicious food start	food	good
final meal	meal	neutral
atmosphere great food	food	good
unique presentation service	service	neutral
not_old school meal	meal	neutral
soft sushi rice	dish	good
delicious meal thank	meal	good
oily meat	food	neutral
really picky sushi	dish	bad
favorite sushi	dish	good
great dinner date	meal	good
go food	food	neutral
dish smoke waiter	dish	bad
dish regular	dish	neutral
cryptic menu chalk	menu	neutral
helpful staff	staff	good
not_dish night	dish	neutral
not_special return-trip dine	dish	neutral
reasonable downtown/plateau area	meal	good
Indeed menu	menu	neutral
say food	food	neutral
fantastic dinner	meal	good
real cheese	food	neutral
fantastic dish	dish	good
special dining destination	dish	neutral
not_probably enough breakfast	meal	bad
cheese spinach ricotta	food	neutral
not_special occasion	dish	neutral
dish tostada case	dish	neutral
not_white fish butter	food	neutral
little disappointing	dish	bad
not_Crab/lobster salad choux	dish	neutral
Extremely pricey	cost	bad
not_disappointing present simple	dish	good
much flavour dish	dish	neutral
especially restaurant manager	dish	neutral
top tender steak	meal	good
not_cheese ca	food	neutral
steep price tag	cost	bad
agree food	food	neutral
special try wont	dish	neutral
fish seafood	food	neutral
different sushi restaurant	dish	neutral
not_usual food	food	neutral
not_bad meat strip	food	good
good food love	food	good
not_cheese watery	food	neutral
last meal	meal	neutral
especially French bistro	dish	neutral
bite AMAZING ate	meal	neutral
delicious mac cheese	food	good
well fish	food	good
Indian food	food	neutral
able pay dinner	meal	neutral
much good service	service	good
wide variety food	food	good
outstanding dinner experience	meal	good
shortly attentive service	service	good
great value price	cost	good
adorable menu	menu	good
bite didnt chew	meal	neutral
chocolate-covered orange rind	food	neutral
not_decent food k-pop	food	bad
great lunch meal	meal	good
really good food	food	good
daily fish	food	neutral
not_worth price	cost	bad
single dish classy	dish	good
pancake thick	dish	neutral
single bite course	meal	neutral
goat cheese latka	food	neutral
not_sure menu	menu	neutral
not_adventurous menu	menu	bad
wonderful food great	food	good
sandwich cheese tomato	food	neutral
knowledgeable menu	menu	good
small salad	dish	neutral
rendeng papaya salad	dish	neutral
give better food	food	good
overall service	service	neutral
want chew salad	dish	neutral
also nice snack	meal	good
not_definitely worth price	cost	bad
beet salad	dish	neutral
attentive service staff	staff	good
not_particular risotto salty	dish	neutral
meal surprisingly	meal	neutral
curry laksa chicken	dish	neutral
fantastic meal friend	meal	good
chocolate etc	food	neutral
fish day foie	food	neutral
seasonal service	service	neutral
not_especially several	dish	neutral
purée portion dish	dish	neutral
wonderful food	food	good
small food quality	food	neutral
pretty good food	food	good
decorative menu	menu	neutral
fish black rice	food	neutral
previous post price	cost	neutral
green papaya salad	dish	neutral
not_d'hote menu	menu	neutral
instead smokey nose	meal	neutral
general experience point	dish	neutral
back special	dish	neutral
not_french food duck	food	neutral
not_Lebanese food	food	neutral
Still meal	meal	neutral
huge disappointment	dish	bad
pomegranate dish	dish	neutral
impeccable service elegant	service	good
Affordable decent food	food	good
dish quiet lunch	meal	good
new sushi	dish	neutral
several savory brunch	meal	neutral
worth price	cost	good
steak/cheese vegetarian	meal	neutral
not_surprisingly deliciously soupy	dish	neutral
instead cheese gravy	meal	neutral
nice dinner	meal	good
back steak	meal	neutral
impeccable waitstaff	staff	good
awesome food	food	good
instead good	meal	good
meat place	food	neutral
exquisite food	food	good
flaky buttery	food	bad
Especially single	dish	neutral
delicious food	food	good
not_bread pudding	dish	neutral
cornmeal buttermilk pie	meal	neutral
not_last meal	meal	neutral
able strain soup	dish	bad
moist carrot cake	dish	neutral
true foodie experience	food	neutral
Canadian dish	dish	neutral
not_helpful staff	staff	bad
not_good dish	dish	bad
not_'m sure dish	dish	neutral
not_steak lobster	meal	neutral
dish pretty	dish	good
special pie	dish	neutral
special occasionAnother	dish	neutral
different texture meat	food	neutral
eschew meat	food	bad
not_deliciously soupy	dish	neutral
swear monkfish	food	neutral
'll start food	food	neutral
forward meal awesome	meal	good
not_fresh fruit yogurt	food	bad
sharp radish warm	dish	good
entrée price	cost	neutral
relatively authentic soup	dish	good
end meal	meal	neutral
special job budget	dish	neutral
last minute dinner	meal	neutral
kimchi food	food	neutral
not_due presentation dish	dish	neutral
